代码,名称,最新价,涨跌额,涨跌幅,成交量,成交额,持仓量,行权价,剩余日,日增,昨结,今开,市场标识,时间价值,内在价值,隐含波动率,理论价格,标的名称,标的最新价,标的近一年波动率,到期日,杠杆比率,实际杠杆比率,Delta,Gamma,Vega,Rho,Theta
10009148,50ETF沽5月2500,0.0009,0.0003,50.0,6696.0,57421.0,21537.0,2.5,15.0,3447.0,0.0006,0.0007,10,0.0009,0.0,23.83,0.0003,上证50ETF,2.769,20.46,2025-05-28,3076.67,23.69,-0.0077,0.18,0.0124,-0.0009,-0.0285
10009160,50ETF沽5月2450,0.0007,0.0002,40.0,669.0,3909.0,14585.0,2.45,15.0,-254.0,0.0005,0.0004,10,0.0007,0.0,26.56,0.0001,上证50ETF,2.769,20.46,2025-05-28,3955.71,7.12,-0.0018,0.0515,0.0035,-0.0001,-0.0081
10009158,50ETF沽5月2350,0.0007,0.0002,40.0,2002.0,12175.0,27372.0,2.35,15.0,1368.0,0.0005,0.0005,10,0.0007,0.0,34.38,,上证50ETF,2.769,20.46,2025-05-28,3955.71,0.0,0.0,0.0019,0.0001,0.0,-0.0002
10009175,300ETF沽5月3400,0.0005,0.0001,25.0,1203.0,5304.0,15961.0,3.4,15.0,-54.0,0.0004,0.0004,10,0.0005,0.0,31.25,,沪深300ETF,3.994,22.98,2025-05-28,7988.0,2.4,-0.0003,0.0067,0.0011,0.0,-0.0027
10009159,50ETF沽5月2400,0.0006,0.0001,20.0,818.0,5554.0,11320.0,2.4,15.0,-88.0,0.0005,0.0005,10,0.0006,0.0,29.69,,上证50ETF,2.769,20.46,2025-05-28,4615.0,1.38,-0.0003,0.0114,0.0008,0.0,-0.0017
10009060,50ETF沽5月2550,0.0009,0.0001,12.5,5776.0,45724.0,33397.0,2.55,15.0,-583.0,0.0008,0.0007,10,0.0009,0.0,19.53,0.0011,上证50ETF,2.769,20.46,2025-05-28,3076.67,76.92,-0.025,0.4949,0.034,-0.003,-0.0785
10008877,科创板50沽9月950,0.0362,0.0034,10.37,3175.0,1100587.0,6248.0,0.95,134.0,469.0,0.0328,0.0332,10,0.0362,0.0,29.79,0.0621,科创板50ETF,1.032,41.57,2025-09-24,28.51,9.07,-0.3181,1.3665,0.2239,-0.1443,-0.1207
10008839,500ETF沽9月4900,0.0527,0.0049,10.25,4924.0,2463131.0,3640.0,4.9,134.0,454.0,0.0478,0.0449,10,0.0527,0.0,24.88,0.0713,中证500ETF,5.778,27.44,2025-09-24,109.64,14.86,-0.1355,0.226,0.7653,-0.3161,-0.2726
10008840,500ETF沽9月5000,0.0666,0.0061,10.08,3308.0,2058553.0,5231.0,5.0,134.0,502.0,0.0605,0.057,10,0.0666,0.0,24.56,0.0903,中证500ETF,5.778,27.44,2025-09-24,86.76,14.2,-0.1637,0.2563,0.868,-0.3833,-0.3083
10008310,500ETF沽6月5657A,0.1154,0.0092,8.66,2387.0,2727142.44,5928.0,5.657,43.0,11.0,0.1062,0.0975,10,0.1154,0.0,21.81,0.1582,中证500ETF,5.778,27.44,2025-06-25,50.07,19.39,-0.3872,0.6959,0.7682,-0.2888,-0.8428
