日期,开盘,最高,最低,收盘,成交量,期权合约简称,成交量,Delta,Gamma,Theta,Vega,隐含波动率,最高价,最低价,交易代码,行权价,最新价,理论价值
2025-08-20,0.5477,0.5786,0.5299,0.5786,117921,50ETF购9月2400,103,1,0,-0.0956,0,0.0009,0.5786,0.5299,510050C2509M02400,2.4000,0.5786,0.5842
2025-08-20,0.4962,0.5272,0.4788,0.5272,56874,50ETF购9月2450,49,1,0,-0.0976,0,0.0009,0.5272,0.4788,510050C2509M02450,2.4500,0.5272,0.5344
2025-08-20,0.4456,0.479,0.4295,0.479,145100,50ETF购9月2500,49,1,0,-0.0996,0,0.0009,0.4790,0.4295,510050C2509M02500,2.5000,0.4790,0.4846
2025-08-20,0.3963,0.43,0.3824,0.43,201294,50ETF购9月2550,96,1,0,-0.1016,0,0.0009,0.4300,0.3824,510050C2509M02550,2.5500,0.4300,0.4348
2025-08-20,0.333,0.3815,0.332,0.3815,171020,50ETF购9月2600,112,1,0,-0.1036,0,0.0009,0.3815,0.3320,510050C2509M02600,2.6000,0.3815,0.385
2025-08-20,0.2868,0.3324,0.2868,0.3324,404486,50ETF购9月2650,259,1,0.0001,-0.1056,0,0.0009,0.3324,0.2868,510050C2509M02650,2.6500,0.3324,0.3351
2025-08-20,0.2486,0.2853,0.2341,0.2853,2827326,50ETF购9月2700,1121,0.9999,0.0029,-0.1077,0.0002,0.0009,0.2853,0.2341,510050C2509M02700,2.7000,0.2853,0.2853
2025-08-20,0.1952,0.2355,0.1882,0.235,2782830,50ETF购9月2750,1694,0.9992,0.0341,-0.1106,0.0024,0.0009,0.2355,0.1882,510050C2509M02750,2.7500,0.2350,0.2355
2025-08-20,0.1575,0.193,0.1458,0.193,17811792,50ETF购9月2800,3707,0.9934,0.2382,-0.1183,0.0171,0.1652,0.1930,0.1458,510050C2509M02800,2.8000,0.1930,0.1859
2025-08-20,0.1202,0.1519,0.1085,0.1519,49105775,50ETF购9月2850,6748,0.9641,1.013,-0.1412,0.0726,0.1712,0.1519,0.1085,510050C2509M02850,2.8500,0.1519,0.137
2025-08-20,0.0872,0.1157,0.078,0.1132,173807236,50ETF购9月2900,20517,0.872,2.6894,-0.185,0.1928,0.1675,0.1157,0.0780,510050C2509M02900,2.9000,0.1132,0.0911
2025-08-20,0.0633,0.0863,0.055,0.086,344502421,50ETF购9月2950,45829,0.6852,4.5639,-0.2235,0.3272,0.1814,0.0863,0.0550,510050C2509M02950,2.9500,0.0860,0.0523
2025-08-20,0.045,0.0633,0.0387,0.0633,278456452,50ETF购9月3000,43778,0.4364,5.0616,-0.2107,0.3628,0.1897,0.0633,0.0387,510050C2509M03000,3.0000,0.0633,0.0248
2025-08-20,0.0012,0.0013,0.001,0.0012,94059,50ETF沽9月2400,953,0,0,0,0,0.3176,0.0013,0.0010,510050P2509M02400,2.4000,0.0012,0
2025-08-20,0.0014,0.0014,0.0007,0.0009,123329,50ETF沽9月2450,1514,-0,0,0,0,0.28,0.0014,0.0007,510050P2509M02450,2.4500,0.0009,0
2025-08-20,0.0017,0.0017,0.0012,0.0014,94689,50ETF沽9月2500,1038,-0,0,0,0,0.2712,0.0017,0.0012,510050P2509M02500,2.5000,0.0014,0
2025-08-20,0.0025,0.0027,0.0018,0.0018,11197,50ETF沽9月2550,307,-0,0,0,0,0.254,0.0027,0.0018,510050P2509M02550,2.5500,0.0018,0
2025-08-20,0.0029,0.0029,0.0019,0.0019,36539,50ETF沽9月2600,695,-0,0,0,0,0.2292,0.0029,0.0019,510050P2509M02600,2.6000,0.0019,0
2025-08-20,0.0046,0.0048,0.0029,0.0029,344634,50ETF沽9月2650,2161,-0,0.0001,0,0,0.218,0.0048,0.0029,510050P2509M02650,2.6500,0.0029,0
2025-08-20,0.0059,0.0064,0.0036,0.0038,1643716,50ETF沽9月2700,4837,-0.0001,0.0029,-0.0001,0.0002,0.1999,0.0064,0.0036,510050P2509M02700,2.7000,0.0038,0
2025-08-20,0.0092,0.0104,0.0058,0.0058,3484161,50ETF沽9月2750,7247,-0.0008,0.0341,-0.001,0.0024,0.1875,0.0104,0.0058,510050P2509M02750,2.7500,0.0058,0
2025-08-20,0.0153,0.0184,0.0105,0.0105,26403090,50ETF沽9月2800,17203,-0.0066,0.2382,-0.0067,0.0171,0.1835,0.0184,0.0105,510050P2509M02800,2.8000,0.0105,0.0002
2025-08-20,0.0272,0.031,0.0192,0.0194,124979018,50ETF沽9月2850,34265,-0.0359,1.013,-0.0277,0.0726,0.1849,0.0310,0.0192,510050P2509M02850,2.8500,0.0194,0.0011
2025-08-20,0.0455,0.051,0.0326,0.0326,163732949,50ETF沽9月2900,26607,-0.128,2.6894,-0.0695,0.1928,0.1851,0.0510,0.0326,510050P2509M02900,2.9000,0.0326,0.005
2025-08-20,0.0698,0.0784,0.0525,0.0525,181333303,50ETF沽9月2950,30089,-0.3148,4.5639,-0.106,0.3272,0.1893,0.0784,0.0525,510050P2509M02950,2.9500,0.0525,0.016
2025-08-20,0.1026,0.111,0.0806,0.081,74080670,50ETF沽9月3000,11582,-0.5636,5.0616,-0.0912,0.3628,0.2011,0.1110,0.0806,510050P2509M03000,3.0000,0.0810,0.0383
2025-08-20,0.8972,0.8972,0.8972,0.8972,6,沪深300ETF购9月3542A,1,0,NAN,0,0,0,0.8972,0.8972,159919C2509M003600A,3.5420,0.8972,0
2025-08-20,0.7001,0.7018,0.6977,0.7018,354,沪深300ETF购9月3800,34,0,NAN,0,0,0,0.7018,0.6977,159919C2509M003800,3.8000,0.7018,0
2025-08-20,0.5441,0.5879,0.5441,0.5879,1152,沪深300ETF购9月3900,63,0,NAN,0,0,0,0.5879,0.5441,159919C2509M003900,3.9000,0.5879,0
2025-08-20,0.5525,0.5525,0.5525,0.5525,6,沪深300ETF购9月3936A,1,0,NAN,0,0,0,0.5525,0.5525,159919C2509M004000A,3.9360,0.5525,0
2025-08-20,0.4233,0.502,0.4233,0.502,108,沪深300ETF购9月4000,8,0,NAN,0,0,0,0.5020,0.4233,159919C2509M004000,4.0000,0.5020,0
